10:55:36.941959 config: drop-rate=0.00, max-delay=0s, seed=1585407336940806700
10:55:36.943284 router is listening at :3000
10:56:53.737190 [queue=0] packet #1, 127.0.0.1:53834 -> 127.0.0.1:8007, sz=4 is delivered
10:56:53.741169 [queue=0] packet #1, 127.0.0.1:53835 -> 127.0.0.1:8007, sz=4 is delivered
10:56:53.743165 [queue=0] packet #1, 127.0.0.1:53838 -> 127.0.0.1:8007, sz=4 is delivered
10:56:53.743165 [queue=0] packet #1, 127.0.0.1:53837 -> 127.0.0.1:8007, sz=4 is delivered
10:56:53.744161 [queue=0] packet #1, 127.0.0.1:53836 -> 127.0.0.1:8007, sz=4 is delivered
10:56:53.744161 [queue=0] packet #1, 127.0.0.1:53839 -> 127.0.0.1:8007, sz=4 is delivered
10:56:53.751183 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53834, sz=21 is delivered
10:56:53.752140 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53835, sz=21 is delivered
10:56:53.752140 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53838, sz=21 is delivered
10:56:53.752140 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53837, sz=21 is delivered
10:56:53.753139 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53836, sz=21 is delivered
10:56:53.753139 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53839, sz=21 is delivered
10:56:54.192962 [queue=0] packet #1, 127.0.0.1:53839 -> 127.0.0.1:8007, sz=3 is delivered
10:56:54.193960 [queue=0] packet #1, 127.0.0.1:53836 -> 127.0.0.1:8007, sz=3 is delivered
10:56:54.193960 [queue=0] packet #1, 127.0.0.1:53835 -> 127.0.0.1:8007, sz=3 is delivered
10:56:54.193960 [queue=0] packet #1, 127.0.0.1:53837 -> 127.0.0.1:8007, sz=3 is delivered
10:56:54.193960 [queue=0] packet #1, 127.0.0.1:53838 -> 127.0.0.1:8007, sz=3 is delivered
10:56:54.194956 [queue=0] packet #1, 127.0.0.1:53834 -> 127.0.0.1:8007, sz=3 is delivered
10:56:54.195953 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53839, sz=16 is delivered
10:56:54.195953 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53836, sz=16 is delivered
10:56:54.196951 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53835, sz=16 is delivered
10:56:54.196951 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53837, sz=16 is delivered
10:56:54.197948 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53838, sz=16 is delivered
10:56:54.198945 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53834, sz=16 is delivered
10:56:54.198945 [queue=0] packet #1, 127.0.0.1:53839 -> 127.0.0.1:8007, sz=90 is delivered
10:56:54.199943 [queue=0] packet #1, 127.0.0.1:53836 -> 127.0.0.1:8007, sz=43 is delivered
10:56:54.199943 [queue=0] packet #1, 127.0.0.1:53835 -> 127.0.0.1:8007, sz=90 is delivered
10:56:54.199943 [queue=0] packet #1, 127.0.0.1:53837 -> 127.0.0.1:8007, sz=34 is delivered
10:56:54.200965 [queue=0] packet #1, 127.0.0.1:53838 -> 127.0.0.1:8007, sz=53 is delivered
10:56:54.201938 [queue=0] packet #1, 127.0.0.1:53834 -> 127.0.0.1:8007, sz=50 is delivered
10:56:54.208919 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53839, sz=107 is delivered
10:56:54.209949 [queue=0] packet #1, 127.0.0.1:53839 -> 127.0.0.1:8007, sz=8 is delivered
10:56:54.211967 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53836, sz=91 is delivered
10:56:54.219890 [queue=0] packet #1, 127.0.0.1:53836 -> 127.0.0.1:8007, sz=8 is delivered
10:56:54.220888 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53835, sz=135 is delivered
10:56:54.221985 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53837, sz=101 is delivered
10:56:54.222883 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53838, sz=22 is delivered
10:56:54.224877 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53834, sz=22 is delivered
10:56:54.225874 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53839, sz=4 is delivered
10:56:54.226207 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53836, sz=4 is delivered
10:56:54.226871 [queue=0] packet #1, 127.0.0.1:53835 -> 127.0.0.1:8007, sz=8 is delivered
10:56:54.227870 [queue=0] packet #1, 127.0.0.1:53837 -> 127.0.0.1:8007, sz=8 is delivered
10:56:54.228866 [queue=0] packet #1, 127.0.0.1:53838 -> 127.0.0.1:8007, sz=8 is delivered
10:56:54.228866 [queue=0] packet #1, 127.0.0.1:53834 -> 127.0.0.1:8007, sz=8 is delivered
10:56:54.229863 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53835, sz=4 is delivered
10:56:54.230897 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53837, sz=4 is delivered
10:56:54.230897 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53838, sz=4 is delivered
10:56:54.230897 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53834, sz=4 is delivered
